fifa_code,tm_club_id,name
MEX,6303,Mexico
RSA,3806,South Africa
KOR,3589,Korea Republic
CZE,3445,Czechia
CAN,3510,Canada
SUI,3384,Switzerland
QAT,14162,Qatar
BIH,3446,Bosnia and Herzegovina
BRA,3439,Brazil
MAR,3575,Morocco
HAI,14161,Haiti
SCO,3380,Scotland
USA,3505,United States
PAR,3581,Paraguay
AUS,3433,Australia
TUR,3381,Türkiye
GER,3262,Germany
CUW,32364,Curaçao
CIV,3591,Côte d'Ivoire
ECU,5750,Ecuador
NED,3379,Netherlands
JPN,3435,Japan
TUN,3670,Tunisia
SWE,3557,Sweden
BEL,3382,Belgium
EGY,3672,Egypt
IRN,3582,IR Iran
NZL,9171,New Zealand
ESP,3375,Spain
CPV,4311,Cabo Verde
KSA,3807,Saudi Arabia
URU,3449,Uruguay
FRA,3377,France
SEN,3499,Senegal
NOR,3440,Norway
IRQ,3560,Iraq
ARG,3437,Argentina
ALG,3614,Algeria
AUT,3383,Austria
JOR,15737,Jordan
POR,3300,Portugal
UZB,3563,Uzbekistan
COL,3816,Colombia
COD,3854,Congo DR
ENG,3299,England
CRO,3556,Croatia
GHA,3441,Ghana
PAN,3577,Panama
